surge_mean,sway_mean,VVEL,VDIR,HS1,TP1,DIR1,CVEL0,CDIR0
585.3020115441369,14.42728355204216,6.20,191.0,1.70,10.60,332.0,0.77,192.0
317.6661138590251,-7.2485056192358375,4.20,172.0,1.49,10.70,340.0,0.73,194.0
561.5837550355732,20.90966411594203,5.50,174.0,1.34,9.90,312.0,0.59,195.0
544.830608513834,16.369148420289854,5.90,179.0,1.29,8.10,258.0,0.76,198.0
577.7628623913043,16.02139575889328,5.70,184.0,1.30,11.90,327.0,0.68,187.0
177.9435514268775,-6.2610714295125165,1.50,9.0,0.81,9.10,277.0,0.38,185.0
328.28297055994733,-15.514277739130433,3.30,258.0,2.55,13.80,26.0,0.60,166.0
679.6365379617918,14.64970020816864,8.30,243.0,3.16,9.10,3.0,0.81,177.0
643.2072235006588,15.327500386034254,6.60,224.0,3.28,9.30,324.0,0.68,169.0
312.80596299868245,7.352441191040843,3.80,201.0,2.64,9.70,31.0,0.47,198.0
227.66124735573123,-18.2359310171278,3.20,198.0,1.97,9.40,337.0,0.68,192.0
374.7633399604743,5.003908316205535,4.60,252.0,1.43,9.50,315.0,0.68,194.0
453.095672627141,18.018327805006585,5.00,255.0,1.65,15.10,353.0,0.59,198.0
464.9623391818182,28.125450255599475,4.90,211.0,1.84,8.80,244.0,0.47,203.0
567.9275201844532,25.443141795783923,5.60,220.0,2.02,8.70,228.0,0.41,200.0
545.2294153754941,36.19811510935441,5.40,295.0,1.96,12.80,6.0,0.28,270.0
632.1521525138339,31.558430803689063,7.10,263.0,2.40,7.40,272.0,0.30,255.0
504.8175974229249,39.983025021080365,5.40,255.0,1.95,10.00,309.0,0.36,254.0
264.933205629776,22.17776083003952,3.60,266.0,1.84,9.80,277.0,0.35,243.0
183.79984282476946,6.1866900895915675,2.20,276.0,1.39,7.90,349.0,0.26,241.0
624.9551252252966,29.49400753227932,6.60,280.0,1.91,6.80,273.0,0.25,225.0
665.557142508564,28.794527434782612,6.90,189.0,1.73,5.20,195.0,0.01,135.0
689.8878163504611,27.081604259552044,7.70,179.0,2.28,6.40,174.0,0.11,131.0
421.7179925480896,36.243292065876155,4.60,320.0,3.04,9.30,291.0,0.33,220.0
599.0027083860342,30.983607218708826,6.40,297.0,2.85,9.30,300.0,0.35,225.0
536.6287081198946,30.39207734387352,5.60,298.0,2.77,8.80,272.0,0.40,214.0
392.98961721739136,27.648653442687745,4.90,302.0,2.50,8.80,254.0,0.51,216.0
613.906730483531,27.767035872200264,6.60,297.0,2.56,9.30,266.0,0.39,211.0
613.2944653913044,28.808496059288537,6.20,237.0,1.36,8.00,235.0,0.25,217.0
563.0784877984189,29.478990735177867,5.50,232.0,1.38,8.30,263.0,0.32,214.0
435.8319937220026,36.59518245981555,4.20,230.0,1.52,7.70,274.0,0.18,218.0
667.956612768116,27.557980194993416,7.60,332.0,3.94,10.70,337.0,0.28,212.0
583.9880833926219,29.36242984189723,5.70,331.0,3.68,11.00,352.0,0.27,222.0
531.1044626758893,34.096127847167324,5.30,314.0,2.72,11.40,325.0,0.31,233.0
540.8225064123847,32.832461841897235,5.60,288.0,2.44,11.00,355.0,0.36,238.0
145.5373385032938,-7.392027744400528,3.40,161.0,1.84,8.20,212.0,0.71,215.0
133.3296554334651,-16.581348441370224,2.30,147.0,1.71,8.50,205.0,0.70,204.0
149.0971908814229,-11.284401652173914,1.90,257.0,1.73,8.00,229.0,0.53,199.0
296.01783470750985,21.870341399209487,3.30,284.0,1.28,7.30,239.0,0.22,240.0
220.9843834453228,11.179663653491437,3.00,295.0,1.26,12.30,11.0,0.35,233.0
478.6587953069829,32.65240300527009,4.70,245.0,1.06,8.30,263.0,0.33,205.0
338.8341297760211,20.279691716732543,4.10,251.0,1.02,7.30,237.0,0.45,213.0
468.3650059051384,37.273553409749674,5.10,255.0,0.99,7.80,244.0,0.40,238.0
413.4723783557312,34.04440888274045,4.40,227.0,1.17,7.70,249.0,0.33,226.0
564.9265592766799,3.1027831949934126,5.10,317.0,3.22,15.10,24.0,0.72,159.0
538.3346515876152,8.496341795783925,4.30,322.0,3.21,14.00,33.0,0.61,142.0
610.3145191712779,18.9834341370224,5.20,313.0,2.88,7.50,303.0,0.52,144.0
583.1470058932807,9.585498988142293,5.00,321.0,3.10,8.10,320.0,0.64,159.0
606.4936858471673,2.9022862028985505,5.00,332.0,3.32,8.30,305.0,0.79,151.0
494.74318869169963,-44.45438687483531,5.20,215.0,1.74,7.70,248.0,1.16,169.0
639.6952860895915,-2.4804418142292493,6.20,215.0,1.79,7.60,251.0,1.08,158.0
345.5365382911727,-24.655523683794463,6.00,215.0,2.28,17.40,360.0,1.17,172.0
524.7525626982872,-53.57980300658762,4.80,186.0,3.26,16.30,320.0,1.20,164.0
474.822593027668,-55.32950494202899,3.60,210.0,3.09,15.80,11.0,1.03,156.0
