surge_mean,sway_mean,VVEL,VDIR,HS1,TP1,DIR1,CVEL0,CDIR0
-2.7828115942028986,1.3577742700922266,4.10,330.0,1.92,8.10,56.0,0.51,205.0
-3.9185525691699605,0.25366115678524376,2.90,310.0,1.67,7.80,31.0,0.50,210.0
-2.6594794426877475,2.1333018379446638,4.10,306.0,1.50,8.10,63.0,0.39,220.0
-2.2519682371541503,0.9518449367588934,4.70,297.0,1.58,7.50,72.0,0.69,198.0
-1.8374387048748353,1.60259746113307,4.60,284.0,1.64,8.50,38.0,0.56,189.0
-3.38354609486166,0.44857232806324115,3.00,287.0,1.57,8.80,26.0,0.45,193.0
-4.257227484848485,-0.9774203372859025,1.80,288.0,1.54,7.90,37.0,0.57,192.0
-4.381193299077734,-1.9789990197628458,0.20,268.0,1.44,8.70,16.0,0.65,184.0
-4.5955534071146245,-1.0334590909090908,1.20,276.0,1.90,11.00,330.0,0.54,202.0
-4.293249218708827,-2.1243175256916995,1.70,300.0,1.68,11.50,333.0,0.72,192.0
-4.173808787878788,-1.3830793438735178,1.90,339.0,1.58,10.60,360.0,0.63,192.0
-3.399075930171278,0.03605743083003952,3.00,346.0,1.42,11.50,340.0,0.53,194.0
-4.504906206851119,-0.7862499446640318,2.10,6.0,1.48,10.90,339.0,0.59,207.0
-1.8303958511198943,1.242185279314888,4.70,45.0,1.17,10.10,327.0,0.65,193.0
-1.9423492411067194,1.3201779683794466,4.60,10.0,1.69,10.60,338.0,0.60,195.0
0.6048533820816866,5.539011445322793,6.40,345.0,1.85,5.90,38.0,0.47,204.0
-1.7096104664031622,2.0955248787878786,5.00,339.0,1.83,6.10,342.0,0.59,204.0
-2.2027990711462455,0.8514688840579709,4.70,350.0,2.12,6.40,327.0,0.69,200.0
-2.5560403293807643,0.3505692911725955,4.20,347.0,2.24,9.80,12.0,0.64,195.0
-1.3646217549407116,2.0044858353096178,4.90,348.0,2.57,11.60,346.0,0.52,193.0
-3.494594026350461,-0.24004832147562583,3.10,351.0,2.70,11.40,22.0,0.53,196.0
-3.765547395256917,-1.1028209947299077,2.40,352.0,2.68,11.30,10.0,0.57,189.0
-4.161968880105402,-0.8693432292490119,1.90,6.0,2.70,11.10,32.0,0.51,192.0
-2.0562421225296443,2.107261671936759,4.50,345.0,2.55,10.40,18.0,0.41,205.0
-2.9499223978919633,1.0812674479578392,3.80,331.0,2.57,10.70,16.0,0.45,208.0
-4.999746389986824,-1.4810084242424242,1.50,286.0,2.52,9.90,37.0,0.62,205.0
-4.173941152832675,-0.7937109868247695,2.50,305.0,2.39,13.10,16.0,0.58,202.0
-4.667748886693016,-1.674693579710145,0.40,310.0,2.97,13.50,355.0,0.54,198.0
-4.772035490118577,-1.5577467048748352,1.10,310.0,2.69,13.00,2.0,0.58,202.0
-4.6038404150197625,-2.36627628458498,1.20,281.0,2.80,12.50,4.0,0.68,194.0
-3.0146318972332016,0.7037199947299078,4.10,171.0,1.66,11.50,357.0,0.62,208.0
-2.934450893280633,-0.548232534914361,4.00,171.0,1.62,10.90,347.0,0.75,196.0
-3.0247770843214754,-1.0307180540184453,3.90,178.0,1.60,12.00,2.0,0.79,194.0
-2.8267748550724634,-1.1976038471673256,3.80,172.0,1.50,11.30,351.0,0.79,189.0
-1.5116815270092225,0.5358076113306983,4.70,184.0,1.67,10.70,347.0,0.71,183.0
-1.1376668880105403,2.130092608695652,5.40,207.0,1.85,10.80,346.0,0.66,198.0
0.07751541765480896,2.6826452938076417,6.20,191.0,1.70,10.60,332.0,0.77,192.0
-2.5860096627140976,-0.16168012384716732,4.20,172.0,1.49,10.70,340.0,0.73,194.0
-3.1951009683794465,-0.24031636890645586,3.20,162.0,1.41,11.10,333.0,0.60,190.0
-3.7662161831357053,-0.8808731291172596,2.30,171.0,1.57,10.70,324.0,0.59,189.0
-3.1100112292490123,-1.4648525415019762,2.70,191.0,1.22,9.90,316.0,0.71,178.0
-4.036197259552042,-1.5602603596837945,1.30,172.0,1.34,11.00,333.0,0.62,183.0
-2.7922235204216075,0.04226086693017129,3.40,226.0,1.35,10.60,335.0,0.58,183.0
-2.425421044795784,1.150396832674572,4.20,223.0,1.42,11.50,331.0,0.56,198.0
-3.9223760909090912,-0.6536061383399209,2.70,195.0,1.61,11.10,330.0,0.61,200.0
-3.8460345968379444,-1.3273899644268774,2.60,217.0,1.44,11.50,320.0,0.69,193.0
-4.305773131752305,-1.3887825098814228,1.80,201.0,1.27,10.90,347.0,0.64,194.0
-4.314463963109354,-1.1481432977602108,1.60,222.0,1.33,10.90,319.0,0.59,194.0
-4.08870977997365,-1.732995604743083,1.90,238.0,1.14,10.60,329.0,0.69,189.0
-3.929645424242424,-1.5768720184453227,2.30,214.0,1.16,10.70,323.0,0.70,190.0
-2.204648581027668,0.7813599960474308,4.20,233.0,1.21,10.40,326.0,0.61,188.0
-1.2123762938076414,1.7504137575757575,5.00,244.0,1.13,10.80,357.0,0.63,185.0
-1.971085234519104,1.2334742002635046,4.70,214.0,1.17,10.80,324.0,0.65,196.0
-1.6491028247694337,1.2916593781291172,5.00,178.0,1.16,8.80,67.0,0.70,193.0
-2.4241746534914363,0.38353332147562574,4.20,165.0,1.12,10.20,326.0,0.67,192.0
-2.8545474492753624,-0.22824777997364956,3.60,155.0,1.08,10.70,320.0,0.66,188.0
-3.7948845098814226,-1.4311632121212121,2.20,170.0,1.09,11.00,320.0,0.67,186.0
-2.995831450592885,-0.13972625691699606,3.70,199.0,0.98,6.70,257.0,0.67,192.0
-1.9824882740447958,0.5332544255599473,4.50,215.0,1.00,6.50,257.0,0.70,187.0
-1.4090823162055335,1.902094303030303,5.00,233.0,1.02,6.30,243.0,0.62,190.0
-2.768483959156786,0.29206464690382083,4.00,197.0,1.05,13.10,294.0,0.66,195.0
-3.86013866798419,-1.3136954255599473,2.80,196.0,1.02,7.60,245.0,0.72,193.0
-3.1245036561264823,-0.7559055362318842,3.50,181.0,1.03,7.30,285.0,0.72,190.0
-3.16168168115942,0.05868752042160739,3.40,192.0,0.96,7.30,274.0,0.60,192.0
-3.4858842661396574,-0.37479837285902506,3.00,194.0,0.92,6.70,255.0,0.61,191.0
-1.7803572279314885,0.8322960092226614,4.70,217.0,0.91,7.20,265.0,0.70,188.0
-1.3984357378129115,1.6102105256916996,5.10,209.0,0.95,6.40,237.0,0.68,191.0
-1.6977583359683794,1.5755078076416338,4.70,196.0,1.03,6.80,231.0,0.60,188.0
-2.1338852648221343,1.3878790724637682,4.40,182.0,1.06,6.70,248.0,0.57,192.0
-1.670389069828722,2.0235112463768115,4.90,174.0,1.05,7.00,289.0,0.59,197.0
-2.955360363636363,0.4864023754940711,3.90,181.0,1.07,6.70,236.0,0.62,198.0
-1.691584604743083,2.3740675981554675,5.00,162.0,1.05,7.80,254.0,0.57,203.0
-2.01119918972332,1.5308322028985504,4.50,179.0,1.01,7.60,254.0,0.57,192.0
-1.226760279314888,2.044436350461133,5.30,184.0,1.08,7.60,254.0,0.67,194.0
1.0690608682476943,4.684893963109354,6.70,193.0,1.06,7.80,233.0,0.69,189.0
0.7619073583662714,4.98130179710145,6.30,183.0,1.24,7.70,248.0,0.53,184.0
-0.06133835573122531,4.25383844400527,5.80,162.0,1.34,4.40,200.0,0.47,189.0
-0.3288108445322793,3.459447342555995,5.80,158.0,1.43,4.90,198.0,0.59,193.0
0.5628435744400526,4.278175657444005,6.50,153.0,1.35,5.10,212.0,0.68,194.0
1.637172118577075,5.600742105401844,7.00,152.0,1.42,5.40,180.0,0.66,190.0
0.48545702371541494,3.9670123109354414,6.20,146.0,1.37,5.30,187.0,0.63,185.0
-0.2110791449275362,1.913795674571805,5.60,173.0,1.31,11.50,346.0,0.73,179.0
-0.5723891594202899,2.098096374176548,5.50,188.0,1.22,11.30,343.0,0.69,185.0
1.3016258906455862,5.692795664031621,6.80,176.0,1.24,11.10,6.0,0.59,194.0
-0.46771369696969695,3.437210378129117,5.70,168.0,1.53,12.00,1.0,0.56,196.0
-1.3801862977602108,1.6278320158102766,5.20,166.0,1.40,4.90,209.0,0.69,193.0
-1.0508584598155466,1.0282231923583662,5.40,159.0,1.39,11.50,346.0,0.79,190.0
-0.8765826363636364,1.484783026350461,5.40,162.0,1.36,12.00,339.0,0.74,188.0
